               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10064,             0.03203,            0.054126,           0.0014951,              0.1181,           0.0018104,          0.00046132,            0.064704,            0.024843,            0.042022,              0.0919,              0.0009,              0.0009
                   1,            0.081087,            0.032014,            0.040968,           0.0030268,             0.39143,            0.017878,           0.0031379,            0.046219,            0.024224,            0.038415,            0.082837,           0.0018373,           0.0018373
                   2,             0.07821,            0.030586,             0.04132,           0.0034507,             0.64571,            0.056395,            0.015233,             0.04094,            0.021982,            0.035473,            0.073709,           0.0027086,           0.0027086
                   3,            0.061994,            0.027606,            0.034937,            0.040327,             0.50714,             0.19405,            0.066897,             0.03561,             0.01998,            0.029587,            0.064514,           0.0035139,           0.0035139
                   4,            0.057156,            0.027381,            0.035307,               0.424,             0.38414,             0.23388,            0.078484,            0.037401,            0.016479,            0.025377,            0.055253,           0.0042532,           0.0042532
                   5,            0.054069,            0.022679,            0.027771,             0.90156,             0.26764,             0.40227,             0.19844,            0.029202,            0.014008,            0.020689,            0.045927,           0.0049265,           0.0049265
                   6,            0.058783,            0.020968,            0.025182,             0.24304,             0.30905,             0.11793,            0.031124,            0.061311,             0.01176,            0.020931,            0.036534,           0.0055338,           0.0055338
                   7,            0.064309,            0.018116,            0.024355,             0.59645,             0.32285,             0.20221,            0.091829,            0.041152,            0.011644,             0.02137,            0.027075,           0.0060751,           0.0060751
                   8,             0.05449,            0.020379,            0.027518,             0.79316,             0.36028,             0.36644,             0.18745,            0.033143,            0.012337,            0.022256,             0.01755,           0.0065504,           0.0065504
                   9,            0.046072,            0.020338,            0.022777,             0.75411,             0.48533,             0.52045,             0.22863,            0.037115,             0.01153,            0.015764,           0.0079597,           0.0069597,           0.0069597
                  10,            0.048587,             0.01993,            0.024848,             0.71861,             0.52523,             0.37885,             0.16624,            0.030601,            0.012044,             0.01294,              0.0067,              0.0067,              0.0067
                  11,            0.049226,            0.017327,            0.016239,             0.76518,             0.53236,             0.47891,             0.20788,            0.035254,            0.011237,            0.010086,              0.0067,              0.0067,              0.0067
                  12,            0.048321,            0.018301,            0.018815,             0.85484,             0.55714,              0.7405,             0.39872,            0.029065,            0.011159,           0.0088996,             0.00637,             0.00637,             0.00637
                  13,            0.041348,            0.016209,            0.015646,             0.56627,              0.5719,             0.55304,             0.24689,            0.030381,            0.015724,            0.025527,             0.00604,             0.00604,             0.00604
                  14,            0.048994,            0.016822,            0.017064,             0.42187,             0.45954,             0.38096,             0.17834,            0.027766,            0.015725,            0.028219,             0.00571,             0.00571,             0.00571
                  15,            0.045227,            0.015415,            0.018246,             0.36998,             0.31143,             0.29168,             0.12949,            0.028095,            0.013209,            0.015295,             0.00538,             0.00538,             0.00538
                  16,            0.040933,            0.015978,            0.017388,             0.52085,             0.47622,             0.42501,             0.17995,             0.02812,            0.011579,           0.0094063,             0.00505,             0.00505,             0.00505
                  17,            0.035633,            0.015687,            0.017835,             0.69858,             0.57552,             0.41628,             0.21801,            0.028569,           0.0092484,           0.0079265,             0.00472,             0.00472,             0.00472
                  18,            0.042612,            0.015353,            0.016692,              0.8876,             0.58436,             0.56341,             0.37522,            0.023908,           0.0085401,           0.0067991,             0.00439,             0.00439,             0.00439
                  19,            0.040727,            0.014499,            0.016872,             0.88221,             0.64048,             0.70889,              0.4907,            0.020135,            0.007453,            0.005311,             0.00406,             0.00406,             0.00406
                  20,            0.039341,            0.014317,            0.017463,             0.92985,             0.68344,             0.75376,             0.47336,             0.02173,           0.0070419,           0.0047713,             0.00373,             0.00373,             0.00373
                  21,            0.032748,               0.013,            0.011473,             0.91656,             0.71048,             0.76509,             0.51009,            0.019246,           0.0068217,           0.0042726,              0.0034,              0.0034,              0.0034
                  22,            0.037879,            0.012916,            0.010795,             0.92887,             0.73724,             0.78461,             0.58235,            0.017936,           0.0063318,           0.0040034,             0.00307,             0.00307,             0.00307
                  23,            0.033009,            0.012762,           0.0084348,              0.8585,             0.77048,             0.88134,             0.62614,            0.019311,           0.0057433,           0.0035865,             0.00274,             0.00274,             0.00274
                  24,            0.030182,            0.013743,            0.011341,             0.91619,             0.81607,             0.91753,             0.61944,            0.018879,           0.0056056,           0.0034081,             0.00241,             0.00241,             0.00241
                  25,            0.030945,            0.012473,           0.0089951,             0.93352,             0.85044,             0.94732,             0.66744,            0.016107,           0.0054612,           0.0030883,             0.00208,             0.00208,             0.00208
                  26,            0.031526,            0.013021,            0.014904,             0.93631,             0.87067,             0.97267,             0.71101,            0.014303,           0.0053731,           0.0029879,             0.00175,             0.00175,             0.00175
                  27,            0.032533,            0.012126,             0.01104,             0.93829,              0.9227,             0.98996,             0.76335,            0.013583,           0.0052928,           0.0028022,             0.00142,             0.00142,             0.00142
                  28,            0.023709,            0.012038,           0.0076787,             0.93093,             0.93889,             0.98442,             0.74945,            0.013108,           0.0051793,           0.0027053,             0.00109,             0.00109,             0.00109
                  29,            0.028752,            0.013001,            0.008313,             0.94807,             0.97944,             0.98997,             0.75761,            0.012667,           0.0050392,           0.0026246,             0.00076,             0.00076,             0.00076
